maleID	GC	T
1	66.9	64.57
1	51.09	35.57
1	65.89	114.28
1	80.88	137.81
1	32.65	59.94
1	60.52	101.83
1	65.89	65.84
1	52.72	43.98
1	84.85	102.31
1	98.25	149.61
2	55.98	96.67
2	53.3	96.02
3	114.89	204.25
3	78.18	211.69
3	56.38	209.44
3	41.72	460.92
3	103.75	175.49
3	52.6	151.58
3	55.06	219.95
3	121.22	203.41
3	50.82	141.29
3	69.2	208.66
3	68.58	226.5
3	58.35	213.75
3	40.27	111.72
3	82.75	193.61
3	40.59	149.43
3	53.22	155.99
3	38.36	114.95
3	45.79	99.34
3	66.64	229.81
3	65.11	161.67
3	99.03	347.05
3	37.96	324.12
3	95.75	295.45
3	51.78	161.18
3	36.47	65.2
3	75.19	130.95
3	54.06	162.74
3	42.89	66.12
3	61.85	93.93
3	60.91	110.3
3	72.63	146.66
3	52.11	113.85
3	71.21	108.01
3	47.36	154.25
3	34.85	107.05
3	29.95	110.82
3	32.19	93.32
3	52.35	189.61
3	59.68	121.14
3	58.38	231.06
3	73.69	116.08
3	56.15	102.37
3	63.58	103.21
3	49.31	82.62
3	77.4	126.8
3	77.18	124.01
3	41.35	56.58
3	97.76	80.53
3	47.98	51.36
3	61.87	59.24
3	65.83	47.57
3	52.08	90.19
3	84.92	99.25
3	136.31	142.82
3	104	112.08
3	61.49	127.49
3	69.13	103.14
3	73.42	153.09
3	65.25	78.66
3	51.07	97.55
3	106.76	160.4
4	66.77	223.85
4	71.42	229.09
4	32.63	138.96
4	57.25	451.4
4	43.61	305.33
4	32.63	206.77
4	56.1	130.95
4	66.47	135.96
4	33.74	206.26
4	29.01	188.53
4	73	279.18
4	47.54	191.74
4	56.43	1134.46
4	32.01	143.59
4	44.4	137.05
4	34.72	143.63
4	51.11	434.64
4	27.82	170.92
4	15.61	52.82
4	129.64	234.63
4	56.98	291.85
4	60.94	286.93
4	63.34	209.72
4	58.3	355.67
4	43.22	249.98
4	28.46	72.93
4	35.64	95.82
4	57.75	121.43
4	41.3	127.94
4	38.1	96.21
4	46.67	112.94
4	43.46	209.62
4	53.95	212.26
4	54.4	124.84
4	79.92	138.33
4	62.69	148.63
4	50.56	203.91
4	67.46	166.14
4	65.71	209.13
4	79.25	144.96
4	40.9	94.73
4	46.42	50.31
4	118.98	148.23
4	65.97	82.45
4	76.56	84.79
4	80.13	109.42
5	56.14	250.98
5	119.28	191.24
5	90.65	200.96
5	82.39	381.05
5	70.16	260.44
5	61.12	255.05
5	65.56	233.93
5	63.92	197.36
5	41.72	203.36
5	68.52	130.07
5	36.34	135.22
5	36.34	103.78
5	25.41	153.2
5	125.62	903.88
5	67	551.28
5	45.13	77.17
5	28.94	73.5
5	25.88	68.68
5	148.65	180.04
5	58.36	123.31
5	85.88	167
5	57.89	140.42
5	94.01	111.2
5	79.96	91.17
5	87.18	88.68
5	54.74	62.09
5	84.56	57.18
5	52.16	66.6
6	73.27	84.98
6	81.4	71.13
6	83.58	58.67
6	126.08	79.69
6	110.96	103.14
6	89.72	71.22
6	90.82	76.75
7	139.05	124.64
7	112.82	521.54
7	86.68	125.17
7	138.57	103.84
7	127.22	120.08
8	57.6	180.36
8	71.2	169.3
8	40.24	104.57
8	70.16	155.71
8	91.08	191.89
8	55.89	119.3
8	65.19	79.83
8	36.1	52.28
8	78.21	110.19
8	81.61	109.21
8	86.86	102.17
8	75.07	122.82
8	92.86	199.45
8	56.01	90.52
8	84.57	114.83
8	118.35	168.71
8	81.18	90.27
9	209.12	246.47
9	47.38	35.95
9	38.12	74.2
9	90.76	98.85
10	40.47	223.51
10	95.16	246.32
10	73.85	189.52
10	38.89	130.37
10	35.4	234.27
10	38.53	338.02
10	128.5	157.13
10	38.39	299.14
10	64.15	247.08
10	47.49	187.64
10	79.37	410.64
10	70.98	411.63
10	49.66	128.84
10	51.89	231.91
10	66.84	288.34
10	56.12	389.56
10	79.04	150.64
10	46.61	144.02
10	53.16	423.93
10	40.67	253.56
10	178.56	308.39
11	74.86	121.76
11	99.5	120.82
11	83.27	177.68
11	50	265
11	65	43.88
11	66.7	31.45
11	49.84	35.99
11	64.71	43.42
11	73.46	29.43
11	89.21	63.88
11	68.41	32.14
11	38.04	34.36
11	30.18	17.36
11	50.45	38.78
11	100.01	51.75
11	96.8	77.09
11	88	39.89
11	68.18	74.69
11	85.27	114.51
11	43.05	58.09
11	87.95	97.45
11	72.22	46.37
11	64.91	48.3
11	32.23	52.32
11	42.82	101.55
11	65.14	66.96
12	64.88	42.75
12	92.53	53.22
12	114.84	50.43
12	93.25	41.2
12	48.67	36.49
12	52.01	68.82
12	49.26	46.27
12	45.45	35.76
12	39.55	21.73
12	73.37	37.8
12	64.76	65.55
12	55.22	152.32
12	46.74	95.66
12	141.6	51.81
12	73.84	64.05
12	123.62	50.43
12	52.51	46.13
12	45.3	80.6
12	61.17	51.58
12	81.1	38.83
12	82.1	114.7
12	34.9	52.44
12	41.64	70.4
13	78.05	78.24
13	85.48	58.93
13	65.13	45.41
13	70.15	72.04
13	38.75	58.77
13	83.16	132.29
13	79.06	95.02
13	60.27	83.03
13	72.03	87.87
13	50.85	88.73
13	58.62	72.01
13	87.6	108.78
13	73.27	68.09
13	95.8	74.86
13	68.3	67.82
13	63.4	67.52
14	67.94	102.14
15	30.46	142.23
15	51.58	119.21
15	52.14	262.13
15	92.77	923.51
15	82.24	281.06
15	45.47	140.18
15	44.75	182.27
15	49.4	120.47
15	92.11	247.83
15	44.24	147.92
15	53.64	189.26
15	57.18	253.15
15	39.49	341.06
15	83.49	213.99
15	32.51	125.43
15	50.71	175.15
15	118.93	217.72
15	31.99	127.34
15	39.61	187.17
15	57.81	173.4
15	42.66	102.41
15	39.5	107.51
15	34.69	97.29
15	51.58	133.37
15	51.46	137.45
15	87.18	167.7
15	136.73	128.46
15	38.27	133.38
15	29.74	109.62
15	33.45	90.84
15	43.87	88.61
15	62.1	61.94
15	65.19	84.01
15	45.18	106.55
15	43.31	49.72
15	65.89	94.06
15	46.14	66
15	59.75	107.08
15	80.35	153.65
15	88.46	120.29
16	83.25	147.7
16	82.92	495.99
16	61.2	435.34
16	59.57	288.41
16	89.39	139.14
16	32.33	168.5
16	63.06	125.15
16	52.49	237.68
16	47.69	371.79
16	42.38	112.39
16	33.1	121.2
16	183.49	267.68
16	53.67	244.11
16	32.65	156.68
16	145.52	101.48
16	46.3	84.46
16	90.64	78.31
16	67.79	98.2
16	55.47	144.61
16	101.46	184.04
16	60.4	106.07
16	64.57	181.11
16	93.27	71.65
16	53.34	60.89
16	48.42	63.36
16	95.67	219.36
16	63.37	127.86
16	76.51	99.5
16	49.55	51.76
16	80.14	87.7
16	96.29	69.5
17	56.1	67.37
17	71.56	97.79
17	62.63	25.7
18	47.21	79.02
18	61.08	112.05
18	64.59	156.75
18	76.06	51.35
19	11.78	110.97
19	26.14	111.5
19	49.55	116.38
20	96.41	240.57
20	131.97	192.25
20	53.47	111.5
20	51.2	85.5
21	57.18	67.51
21	87.17	72.04
21	76.95	79.42
21	106.06	145.79
21	69.84	113.76
21	53.96	118.96
21	106.58	152.24
21	55.29	68.91
21	92.9	54.81
21	131.68	91.14
21	73.89	278.82
21	129.99	156.82
22	192.42	105.96
22	74.17	86.02
22	57.63	60.58
22	57.01	62.81
22	77.15	217.66
23	29.99	218.88
23	68.81	268.76
23	31.89	211.25
23	18.16	195.93
23	46.31	292.46
23	82.63	129.83
23	42.14	118.26
23	21.47	87.16
23	29.63	110.87
23	58.39	405.75
23	53.15	423.42
23	61.43	495.1
23	69.99	93.75
23	59.05	319.83
23	60.04	438.47
23	23.07	88.53
23	54.97	99.95
23	47.14	97.41
23	42.11	290.12
23	72.42	471.24
23	126.93	323.08
23	25.42	71.5
23	47.88	79.11
23	38.87	79.37
23	49.16	70.54
23	34.18	86.34
23	26.61	99.67
23	84.36	134.49
23	65.06	127.41
23	21.83	85.37
23	61.19	100.19
23	89.02	114.22
23	73.6	180.88
23	50.41	90.29
23	47.62	205.38
23	36.75	36.66
24	62.33	463.99
24	78.42	202.66
24	46.6	188.11
24	42	231.46
24	55.62	259.2
24	55.85	287.88
24	57.73	408.69
24	49.11	324.7
24	47.18	271.49
24	53.01	117.05
24	37.3	107.15
24	50.18	175.58
24	43.98	164.29
24	46.69	362.25
24	22.21	241.24
24	45.28	412.44
24	55.17	238.01
24	43.92	342.2
24	46.8	325.34
24	74.78	147.39
24	158.06	126.06
24	58.72	177.3
24	38.42	116.77
24	36.4	189.65
24	54.11	369.84
24	40.67	342.24
24	31.26	276.9
24	28.52	130.46
24	34.08	163.12
24	32.4	165.39
24	23.93	109.7
24	21.13	168.82
24	26.59	130.89
24	47.44	449.5
24	103.13	80.53
25	55.19	140.7
25	40.65	193.68
25	111.59	174.42
25	40.69	196.22
25	49.02	147.15
25	82.89	91.69
25	172.43	94.18
25	98.45	265.37
25	67.34	200.96
25	60.37	198.82
25	47.67	190.65
25	20.24	158.32
25	86.97	115.88
25	66.78	170.61
25	41.66	141.25
25	49.44	75.92
25	59.28	105.8
25	80.1	175.28
25	60.34	110.18
25	65.04	60.96
25	66.99	108.67
25	53.18	108.43
25	75.54	127.85
25	37.95	103.2
25	61.14	124.93
25	33.65	84.72
25	68.81	168.01
25	59.05	174.21
25	38.86	115.27
25	80.76	415.02
25	51.22	198.83
25	123.24	310.98
25	87.93	179.57
25	85.74	124.62
25	100.45	274.1
26	41.22	176.57
26	63.08	168.18
26	66.95	268.43
26	35.06	75.06
26	28.18	45.2
26	74.39	122.35
26	38.8	57.95
26	37.78	111.61
26	31.08	113.77
26	40.65	154.68
26	58.2	150.31
26	49.3	63.98
26	77.06	103.79
26	64.51	137.5
26	42.17	34.06
26	48.84	41.53
26	167.67	65.12
26	203.27	97.25
26	54.37	74.14
26	82.78	88.92
26	58.91	95.99
26	58.11	31.25
27	105.5	223.85
27	54.66	163.21
27	52.83	88.05
27	76.83	70.42
27	133	179.56
29	31.61	36.54
29	127.06	100.7
29	94.88	169.73
29	43.77	114.55
29	54.39	154.23
29	84.22	188.8
29	166.39	99.55
29	29.47	48.07
29	29.08	67.6
29	72.32	105.5
29	89.37	128.53
29	88.13	163.49
29	58.61	126.08
29	94.7	299.54
29	49.43	48.49
29	99.78	75.93
29	47.04	37.45
29	78.51	76.97
29	70.05	60.07
29	81.95	45.14
29	98.73	124.2
29	52.76	68.11
29	120.88	118.83
29	79.35	110.91
29	66.28	137.45
29	161.16	95.98
29	70.19	138.67
29	72.64	125.51
29	51.97	75.14
29	121.81	54.89
29	92.1	192.05
29	167.99	105.94
29	79.57	181.45
30	65.1	113.43
30	90.16	188.86
30	241.45	199.41
30	105.13	241.85
30	63.51	196.46
30	80.55	211.57
30	182.05	223.59
30	43.34	121.99
30	34.16	106.68
30	75.62	239.41
30	40.4	81.27
30	41.87	117.27
30	48.05	146.96
30	33.25	341.31
30	63.57	144.06
30	55.82	144.98
30	30.02	184.61
30	131.41	386.97
30	61.01	252.85
30	52.34	94.3
30	44.58	74.86
30	181.36	81.67
30	72.04	137.21
30	62.61	129.26
30	40.24	119.17
30	35.2	92.17
30	58.8	209.2
30	51.76	186.82
30	40.21	134.2
30	119.59	45.06
30	28.67	120.5
30	64.23	183.83
30	59.36	211.4
30	73.3	165.42
30	44.97	134.76
30	66.32	118.4
30	32.9	148.31
30	77.17	143.76
30	70.48	130.8
30	93.46	117.37
30	71.55	109.23
30	55.78	106.35
30	61.85	180.4
30	73.88	213.26
30	65.61	120.87
30	50.09	89.39
30	34.05	69.67
30	44.87	121.25
30	53.93	156.29
30	45.74	114.67
30	68.75	156.27
30	119.02	131.13
30	40.93	131.07
30	65.27	198.4
30	62.05	135.59
30	60.97	187.75
30	64.91	136.51
30	71.4	107.03
30	203.93	55.25
30	98.79	142.15
30	75.28	68.82
30	93.51	155.07
30	117.35	154.16
31	85.36	192.62
32	30.76	45.85
32	47.2	86.97
32	142.48	56.59
33	48.07	132.71
34	73.85	187.04
34	101.02	170.97
34	49.55	103.49
34	68.08	143.16
34	54.71	153.81
34	59.09	121.51
34	84.66	107.92
34	60.87	133.14
34	67.52	172.78
34	93.91	96.58
34	68.84	80.36
34	67.29	63.72
34	64	110.13
34	72.71	117.52
34	62.65	128.75
34	83.48	91.55
35	77.12	159.59
35	84.72	106.86
35	33.16	51.88
35	73.67	89.91
35	58.37	86.67
36	36.73	82.48
36	38.6	69.37
36	30.64	58.27
36	36.61	71.31
36	34.3	146.9
36	27.99	54.98
36	28.3	35.66
36	53.01	54.46
36	41.13	56.74
36	45.8	81.73
36	65.14	99.39
36	62.39	131.4
36	50.36	37.83
36	87.33	37.74
36	52.13	41.92
36	75.49	21.43
36	51.09	24.85
36	55.28	47.51
36	39.7	56.31
36	48.98	43.06
36	55.91	57.9
36	48.84	37.98
36	41.96	44.45
36	39.53	24.84
36	90.58	131.7
36	83.24	117.96
36	54.68	61.54
36	147.06	85.9
36	86.52	98.63
36	44.28	88.04
36	46.33	70.71
36	31.21	34.79
36	42.19	51.79
36	68.74	56.77
36	46.96	35.58
36	60.49	45.37
36	48.67	107.14
36	118.14	105.5
36	57.57	52.62
37	71.91	442.13
37	81.77	177.76
37	65.38	150.2
37	155.52	113.12
37	89.25	91.72
37	71.23	74.33
37	80.05	150.63
37	50.43	108.19
37	53.31	158.42
37	93.15	197.13
37	153.66	271.21
37	28.46	71.46
37	42.57	82.2
37	31.75	94.37
37	34.67	117.56
37	37.34	76.53
37	41.51	91.69
37	35.87	129.76
37	242.7	172.82
37	121.64	112.66
37	26.83	59.81
37	66	87.69
37	137.18	94.43
37	40.53	74.34
37	33.66	74.92
37	90.34	178.75
37	41.08	61.94
37	36.33	57.31
37	44.37	61.83
37	50.35	84.61
37	120.8	62.56
37	72.79	50.17
37	49.73	50.31
37	41.72	43.74
37	61.39	51.63
37	47.03	50.56
37	53.99	66.88
37	34.66	35.73
38	102.64	135.17
39	77.4	70.38
39	51.63	51.72
39	65.22	61.99
40	53.53	280.75
40	56.82	286.92
40	86.8	118.19
40	52.54	105.75
40	48.41	141.46
40	34.27	187.74
40	153.99	73.13
40	70.03	140.8
40	74.48	159.06
40	78	156.23
40	80.38	135.06
40	130.21	230.92
40	73.89	169.45
40	103.23	253.86
40	62.18	222.05
40	64.47	398.84
40	62.13	62
40	51.25	93.55
40	50.46	96.85
40	40.01	89.41
40	85.08	276.43
40	65.39	152.45
40	66.08	155.09
40	37.5	122.95
40	103.34	301.98
40	72.3	278.46
40	68.79	313.96
40	65.55	117.57
40	70.65	148.31
40	97.67	200.02
40	105.8	158.37
40	79.37	241.8
41	43.73	304.25
41	52.9	392.39
41	114.81	80.07
41	154.74	338.81
41	95.9	249.39
41	23.92	233.41
41	52.98	232.12
41	82.83	475.11
41	114.49	121.75
41	71.21	391.13
41	56.74	195.78
41	28.31	109.96
41	14.36	42.96
41	71.92	413.26
41	66.23	424.57
41	7.14	104.04
41	47.02	90.8
41	47.12	181.86
41	44.7	73.44
41	40.11	126.14
41	74.43	182.11
41	50.35	174.37
41	31.78	92.95
41	29.14	98.13
41	26.6	105.55
41	47.28	181.75
41	59.16	198.96
41	59.85	121.68
41	53.13	118
41	73.4	214.36
41	22.96	209.72
41	37.84	55.57
41	72.79	124.28
41	55.59	65.05
41	30.82	135.49
41	111.45	165.88
41	41.74	70.3
41	66.41	198.18
41	72.95	83.5
41	72.87	71.06
41	121.58	79.13
41	54.06	66.04
41	73.95	76
41	30.46	36.58
41	36.64	60.37
41	56.21	65.71
41	86.24	148.25
41	95.23	330.3
41	40.67	275.54
41	61.65	186.63
41	25.18	132.62
41	43.7	238.73
41	60.57	141.93
42	35.56	105.56
42	50.2	60.32
42	174.92	87.17
42	149.37	298.47
42	71.19	184.7
43	59.77	485.16
43	60.01	3420.74
44	50.46	191.87
44	90.58	133.61
44	102.59	117.99
44	85.82	148.98
44	104.92	436.96
44	74.26	88.95
44	81.92	200.44
44	78.81	100.98
44	43.49	90.78
44	67.89	124.28
44	68.56	276.25
44	36.73	89.59
44	33.59	103.69
44	55.34	104.36
44	32.87	94.76
44	50.4	166.25
44	73.34	183.11
44	54.17	163.96
44	57.36	111.69
44	107.39	134.31
44	30.08	68.17
44	97.94	119.74
44	45.09	58.9
44	110.18	159.7
44	73.35	257.57
44	32.11	131.15
44	104.36	184.79
44	94.06	195.28
44	65.91	200.85
44	63.57	116.15
44	14.56	91.26
44	19.94	167.46
44	15.47	137.31
44	22.23	106.15
44	25.08	144.35
44	85.93	125.5
44	60.81	140.7
44	51.96	76.3
44	58.81	71.16
44	52.32	123.65
44	48.11	75.62
44	29.92	50.93
44	27.92	96.01
44	48.63	58.16
44	68.8	103.81
44	107.76	148.22
44	112.11	210.27
44	107.78	320.12
44	89.28	117.37
44	71.29	77.45
44	117.74	208.64
44	71.65	111.02
44	145.24	252.91
44	132.1	112.45
44	133.96	267.4
44	78.79	105.29
45	85.59	246.51
46	55.63	39.8
46	17.12	15.23
46	69.05	158.05
46	63.77	150.52
46	34.52	100.67
46	117.42	149.61
46	58.03	100.94
46	63.63	45.56
46	93.94	59.61
46	74.3	65.12
46	57.09	114.12
46	86.07	39.17
46	51.47	61.49
46	54.02	111.67
46	145.22	363.46
46	108.74	56.02
46	105.41	112.07
46	80.72	212.46
46	75.25	60.87
46	69.06	53.27
46	81.13	46.7
46	96.12	94.3
46	74.12	65.47
46	154.95	138.43
47	43.89	90.78
47	92.87	111.3
47	52.49	227.15
47	90.08	209.52
47	61.03	131.51
47	34.43	130.75
47	55.93	148.08
47	49.12	114.18
47	44.28	135.37
47	29.6	100.26
47	67.63	183.28
47	42.19	133.96
47	34.34	104.82
47	61.48	95.93
47	66.14	96.48
47	69.86	87.37
47	84.69	149.02
47	42	146.61
47	35.39	63.86
47	43.57	57.64
47	48.6	85.49
47	60.3	62.29
47	68.31	76.47
47	24.96	125.41
47	51.27	33.48
47	51.01	141.63
47	44.61	84.37
47	83.08	152.49
47	94.31	161.02
47	77.98	97.17
47	51.65	82.2
47	82.25	117.7
47	99.43	178.16
47	61.75	83.9
48	98.58	115.59
48	81.02	71.61
48	57.47	227.88
48	68.1	104.42
48	119.39	144.97
48	80.91	52.57
48	102.65	44.01
48	44.7	42.12
48	41.05	37.47
48	96.97	142.98
48	81.96	167.89
48	49.47	46.03
48	158.52	54.03
48	33.41	52.55
48	38.91	35.81
48	44.98	34.61
48	199.86	116.41
48	44.64	53.76
48	126.1	68.7
48	57.03	76.26
48	140.27	41.92
48	84.63	38.6
48	74.14	54.76
49	95.74	45.78
49	112.05	99.58
49	81.05	52.5
49	87.05	56.11
49	89.29	144.11
49	330.04	85.35
49	155.02	139.79
49	208.12	77.72
49	304.35	82.24
49	115.19	120.75
49	83.25	237.02
49	96.62	147.47
49	110.73	167.18
49	62.39	69.34
49	93.13	59.91
49	57.46	62.78
49	77.86	40.75
49	116.18	83.99
49	69.16	245.22
50	59.46	136.97
50	64.99	186.36
50	52.56	191.82
50	83.98	54.1
50	81.93	157.33
50	64.85	98.97
50	66.12	35.26
50	55.07	49.22
50	57.3	94.77
50	154.47	65.96
50	74.73	150.71
50	50.91	120.36
50	72.93	83.56
50	91.76	196.7
50	45.47	129.88
50	147.58	56.62
50	67.84	72.77
50	51.7	53.57
50	135.8	68.1
50	117.51	204.58
50	61.78	73.78
51	110.81	108.23
51	175.63	165.64
51	150.8	213.76
51	87.29	260.13
51	47.66	158.04
51	80.68	352.77
51	67.83	151.04
51	43.92	155.73
51	47.7	198.67
51	66.71	102.93
51	37.17	127.34
51	75.45	160.41
51	57.8	171.51
51	121.05	555.82
51	69.01	260.46
51	119.22	265.28
51	41.15	124.6
51	15.93	39.03
51	32.84	132.95
51	61.38	112.44
51	56.39	151.34
51	55.12	118.17
51	92.98	76.03
51	13.1	44.46
51	35.94	154.81
52	110.33	394.28
52	73.58	227.15
52	89.13	214.64
52	235.51	399.1
52	66.95	278.1
52	97	238.8
53	84.61	229.59
53	69.8	265.74
53	77.63	308.54
54	121.98	99.27
54	83.11	120.63
54	49.8	153.31
54	165.34	102.13
54	82.75	79.92
54	56.59	105.83
54	71.11	177.51
54	70.43	213.6
54	70.24	157.97
54	74.72	99.08
54	55.48	123.95
54	94.9	211.17
54	59.96	133.01
54	66.34	101.47
54	43.08	110.24
54	41.36	110.85
54	71.06	143.62
54	75.01	138.28
54	83.12	134.27
54	67.63	71.99
54	54.66	56.73
54	53.82	77.85
55	38	61.15
55	50.88	64.4
55	41.97	90.46
55	37.49	33.71
55	40.8	39.34
55	41.53	33.36
55	91.48	53.6
55	69.53	52.7
55	50.5	49.5
55	59.51	39.84
55	82.69	79.08
55	34.28	29.8
55	51.84	61.88
55	68.27	112.8
55	44.38	99.1
55	41.74	81.66
55	17.58	50.57
55	31.72	51.6
55	60.8	70.59
55	77.77	60.84
56	86.66	74.73
56	32.41	124.17
56	67.14	121.16
56	83.19	119.31
56	77.43	91.95
56	84.09	199.49
56	62.13	123.23
56	49.82	117.45
56	43.3	81.39
56	58.67	86.77
56	109.93	69.95
56	95.57	119
56	56.3	55.5
56	151.69	52.32
56	85.49	57.3
56	99.59	71.32
56	65.98	61.13
56	78.78	110.08
56	38.01	66.4
56	71.75	60.5
56	47.04	59.72
56	67.7	42.8
56	28.64	35.51
56	42.47	36.33
56	52.12	69.26
56	66.29	83.37
56	83.32	91.53
56	76.06	102.37
56	67.22	100.89
56	103.35	144.8
56	48.54	125.18
56	69.08	104.21
56	64.42	126.26
56	123.61	192.01
56	90.97	90.15
56	58.62	86.61
56	86.35	84.45
56	120.2	137.48
56	49.95	56.42
56	87.5	97.04
56	130.77	74.23
57	65.32	263.38
57	52.49	71.83
57	45.28	155.31
57	78.04	292.95
57	56.96	290.53
57	51.95	861.62
57	103.98	715.87
57	58.75	592.87
57	74.49	511.4
57	84.8	879.57
57	75.73	898.18
57	42.41	132.49
57	79.98	409.48
57	84.78	260.29
57	125.72	389.24
57	74.51	583.31
57	41.39	238.72
57	43.55	828.59
57	118.58	971.99
57	51.91	231.64
57	50.28	130.84
57	57.45	463.65
57	53.09	213.84
57	74.44	257.3
57	36.72	328.92
57	72.15	327.26
57	53.62	219.12
57	47.7	121.81
57	29.63	214.54
57	29.06	238.28
57	46.39	304.43
57	52.47	215
57	51.79	132.46
57	150.01	201.04
57	77.93	145.07
57	65.3	212.1
57	40.8	105.33
57	46.81	143.59
57	55.2	113.68
57	45.58	76.83
57	52.13	105.95
57	63.9	95.55
57	37.56	77.42
57	83.52	104.86
57	52.52	102.53
57	135.33	231.74
58	81.11	250.05
59	87.98	54.07
59	60.31	39.36
59	161.06	66.96
59	76.45	33.53
59	101.91	67.96
59	49.05	75.59
59	78.81	81.62
59	77.44	75.08
59	41.69	37.93
59	110.33	92.14
59	44.22	52.29
59	88.8	52.4
59	51.11	68.98
59	54.67	62.38
59	60.97	86.56
59	60.78	88.07
59	81.28	167.06
59	87.36	164.52
59	60.56	110.11
59	67.07	161.3
59	77.19	170.93
59	52.81	123.84
59	51.05	133.69
59	37.49	107.41
59	71.55	113.8
60	87.24	259.05
60	105.76	168.01
60	94.97	198.05
60	30.11	109.23
60	64.23	129.17
60	59.03	365.84
60	39.28	209.56
60	41.12	190.81
60	51.79	237.32
60	45.11	233.72
60	38.21	165.08
60	54.39	133.69
60	38.73	233.84
60	69.97	195.71
60	45.25	227.68
60	34.78	211.37
60	25.69	132.83
60	33.34	65.38
60	26.25	129.96
60	43.82	78.76
60	78	136.29
60	118.88	72.28
60	55.19	72.54
60	52.95	124.19
60	43.99	81.33
60	63.32	99.55
60	49.92	53.28
60	24.62	85.22
60	51.05	125.2
60	67.06	114.94
60	72.78	39.93
60	39.13	77.22
60	32.77	60.27
60	55.56	85.77
60	55.51	112.15
60	81.76	51.51
60	86.94	42.85
60	89.02	37.42
60	91.43	92.6
60	63.14	61.54
60	74.9	33.11
60	45.45	47.63
60	42.67	75.64
60	49.28	82.49
60	89.8	99.57
60	104.53	90.84
60	74.99	73.11
60	37	42.9
60	114.36	67.91
60	77.15	51.89
60	73.8	88.51
61	89.5	111.43
61	92.9	118.54
61	67.15	64.09
61	87.86	90.42
61	52.45	87.51
61	45.01	155.04
61	99.75	245.2
61	85.52	189.06
61	88.78	301.01
61	77.45	260.87
61	54.25	210.78
61	53.81	170.91
61	62.69	157.4
61	63.51	182.42
61	145.79	79.95
61	67.56	97.07
61	120.85	143.45
61	56.24	82.64
61	77.21	187.1
61	92.7	164.28
62	39.82	195.83
62	106.73	79.03
62	180.29	138.37
62	79.84	82.4
